Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
7,Com1,58,7.3,3.6,5.3,5.6,4.2,6.7,3,2,3.039
7,SimA2,58,2.6,4.7,3.6,3.7,3.8,3.5,2,2,6.8
7,Com1,59,7.3,3.6,5.2,5.7,4.1,6.8,1,2,2.64
7,AttR1,59,2.0,4.6,4.3,2.3,1.4,4.6,3,2,7.089
7,AttR2,60,2.4,4.4,4.7,2.1,4.7,1.3,2,2,10.318
7,AttR2,61,2.5,4.4,4.5,2.4,4.5,1.6,3,1,10.542
7,SimB2,61,4.6,2.6,3.6,3.6,3.5,3.7,2,2,4.016
7,Com2,62,5.3,5.6,4.4,6.5,3.2,7.7,1,1,4.337
7,Com2,63,5.4,5.8,4.3,6.9,3.5,7.7,1,1,2.528
7,AttR2,63,2.5,4.6,4.4,2.7,4.4,2.1,2,1,13.824
7,SimB2,64,4.5,2.5,3.5,3.5,3.4,3.6,1,2,5.088
7,Com2,65,5.4,5.6,4.4,6.6,3.5,7.5,3,1,15.859
7,SimB1,65,4.6,2.6,3.6,3.6,4.8,2.4,3,2,6.003
