Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,response,choice,RT
4,SimB1,103,7.3,3.7,5.4,5.6,7.5,3.5,2,2,3.23
4,SimA1,104,3.5,7.5,5.4,5.6,3.3,7.7,3,2,2.338
4,SimB1,105,7.5,3.5,5.5,5.5,7.6,3.4,2,2,2.577
4,SimA1,110,3.6,7.3,5.5,5.4,3.4,7.5,3,2,3.933
4,SimB2,111,7.6,3.5,5.5,5.6,5.3,5.8,2,2,7.79
4,SimB2,113,7.4,3.6,5.4,5.6,5.2,5.8,1,2,14.447
4,SimA2,115,3.4,7.5,5.4,5.5,5.6,5.3,2,2,3.07
4,SimA2,116,3.6,7.3,5.5,5.4,5.7,5.2,3,2,6.59
4,SimB1,119,7.3,3.5,5.3,5.5,7.5,3.3,3,2,4.259
4,SimB1,120,7.6,3.4,5.5,5.5,7.7,3.3,2,2,2.59
4,SimA1,121,3.7,7.3,5.6,5.4,3.5,7.5,3,2,2.335
4,SimB2,122,7.4,3.6,5.4,5.6,5.2,5.8,2,2,3.781
4,SimB2,126,7.6,3.3,5.5,5.4,5.3,5.6,2,2,3.648
4,SimB1,127,7.6,3.4,5.6,5.4,7.8,3.2,1,2,3.727
4,SimB1,128,7.6,3.5,5.5,5.6,7.8,3.3,1,2,1.87
4,SimB1,133,7.6,3.3,5.5,5.4,7.7,3.2,3,2,3.518
4,SimB2,134,7.5,3.3,5.4,5.4,5.3,5.5,1,2,3.056
4,SimA1,135,3.6,7.3,5.5,5.4,3.4,7.5,1,2,2.575
4,SimA2,137,3.6,7.3,5.5,5.4,5.6,5.3,3,2,2.398
4,SimA1,140,3.5,7.6,5.5,5.6,3.4,7.7,3,2,2.753
4,SimA1,141,3.5,7.5,5.5,5.5,3.3,7.7,1,2,3.087
4,SimA1,143,3.4,7.7,5.5,5.6,3.2,7.9,2,2,9.47
4,SimB2,144,7.3,3.5,5.3,5.5,5.1,5.7,3,2,2.304
4,SimB1,145,7.5,3.4,5.5,5.4,7.7,3.2,1,2,2.91
4,SimA1,148,3.5,7.5,5.5,5.5,3.3,7.7,3,2,2.018
4,SimB2,149,7.5,3.6,5.5,5.6,5.4,5.7,2,2,2.816
4,SimA2,150,3.6,7.6,5.6,5.6,5.8,5.4,3,2,2.287
4,SimA2,151,3.6,7.5,5.5,5.6,5.6,5.5,2,2,3.535
4,SimA1,153,3.7,7.5,5.6,5.6,3.5,7.7,1,2,2.639
4,SimB2,155,7.7,3.5,5.6,5.6,5.4,5.8,3,2,5.79
4,SimA1,157,3.4,7.5,5.4,5.5,3.3,7.6,3,2,1.696
4,SimA2,158,3.3,7.5,5.3,5.5,5.5,5.3,2,2,3.458
4,SimB2,159,7.6,3.6,5.6,5.6,5.4,5.8,2,2,2.237
4,SimA1,161,3.3,7.5,5.4,5.4,3.2,7.6,2,2,2.913
4,SimA2,162,3.5,7.5,5.4,5.6,5.5,5.5,3,3,3.79
4,SimA1,163,3.5,7.5,5.4,5.6,3.3,7.7,3,2,2.848
4,SimA1,165,3.4,7.6,5.5,5.5,3.2,7.8,1,2,2.577
4,SimA1,167,3.6,7.3,5.5,5.4,3.4,7.5,2,2,1.936
4,SimA2,170,3.4,7.6,5.5,5.5,5.7,5.3,2,2,1.583
4,SimB1,171,7.4,3.6,5.5,5.5,7.6,3.4,1,2,2.691
4,SimB1,174,7.6,3.5,5.5,5.6,7.7,3.4,2,2,2.288
4,SimA2,176,3.4,7.5,5.5,5.4,5.7,5.2,3,2,3.25
4,SimB2,178,7.6,3.6,5.7,5.5,5.6,5.6,3,3,2.291
4,SimB1,181,7.6,3.5,5.5,5.6,7.8,3.3,2,2,1.791
4,SimA2,183,3.6,7.3,5.5,5.4,5.6,5.3,1,2,2.767
